id,method,path,category,description,parameters
GET__api_eco_vehicle,GET,/api/eco/vehicle,vehicles,API endpoint,"[{""name"": ""2020"", ""description"": ""01-21)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-21)."", ""type"": ""string"", ""required"": false}]"
GET__api_eco_driver,GET,/api/eco/driver,drivers,API endpoint,"[{""name"": ""2020"", ""description"": ""01-21)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-21)."", ""type"": ""string"", ""required"": false}]"
GET__api_eco_groups,GET,/api/eco/groups,reports,API endpoint,[]
POST__api_documents_task-form,POST,/api/documents/task-form,tasks,API endpoint,[]
POST__api_documents_forms_confirm,POST,/api/documents/forms/confirm,documents,API endpoint,[]
POST__api_documents_forms_fill-form,POST,/api/documents/forms/fill-form,documents,API endpoint,[]
GET__api_documents_forms_file-pdf,GET,/api/documents/forms/file-pdf,documents,API endpoint,[]
POST__api_documents_forms,POST,/api/documents/forms,documents,API endpoint,[]
GET__api_documents_forms_form,GET,/api/documents/forms/form,documents,API endpoint,[]
GET__api_documents_forms,GET,/api/documents/forms,documents,API endpoint,[]
POST__api_documents_forms_reject,POST,/api/documents/forms/reject,documents,API endpoint,[]
POST__api_documents_forms_reject-documents,POST,/api/documents/forms/reject-documents,documents,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}]"
POST__api_documents_forms_reject-documents-by-codes,POST,/api/documents/forms/reject-documents-by-codes,documents,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}]"
DELETE__api_documents_task-form,DELETE,/api/documents/task-form,tasks,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}]"
